SiteName,TWD97Lon,TWD97Lat
Taitung,121.15045,22.755358
Tainan,120.202617,22.984581
Taixi,120.202842,23.717533
Guanyin,121.082761,25.035503
Guanshan,121.161933,23.045083
Fengyuan,120.741711,24.256586
Longtan,121.21635,24.863869
Toufen,120.898572,24.696969
Qiaotou,120.305689,22.757506
Xianxi,120.469061,24.131672
Chaozhou,120.561175,22.523108
Fengshan,120.358083,22.627392
Changhua,120.541519,24.066
Chiayi,120.440833,23.462778
Wanhua,121.507972,25.046503
Wanli,121.689881,25.179667
Nanzi,120.328289,22.733667
Xinying,120.31725,23.305633
Xingang,120.345531,23.554839
Xinzhuang,121.4325,25.037972
Xindian,121.537778,24.977222
Hsinchu,120.972075,24.805619
Yangming,121.529583,25.182722
Cailiao,121.481028,25.06895
Shanhua,120.297142,23.115097
Hukou,121.038653,24.900142
Fuxing,120.312017,22.608711
Mailiao,120.251825,23.753506
Tamsui,121.449239,25.1645
Lunbei,120.348742,23.757547
Keelung,121.760056,25.129167
Matsu,119.949875,26.160469
Magong,119.566158,23.569031
Taoyuan,121.319964,24.994789
Puli,120.967903,23.968842
Miaoli,120.8202,24.565269
Meinong,120.530542,22.883583
Hengchun,120.788928,21.958069
Pingtung,120.488033,22.673081
Nantou,120.685306,23.913
Qianzhen,120.307564,22.605386
Qianjin,120.288086,22.632567
Kinmen,118.312256,24.432133
Hualien,121.599769,23.971306
Songshan,121.578611,25.05
Banqiao,121.458667,25.012972
Linyuan,120.41175,22.4795
Linkou,121.376869,25.077197
Zhongming,120.641092,24.151958
Yilan,121.746394,24.747917
Shalu,120.568794,24.225628
Xitun,120.616917,24.162197
Zhudong,121.088903,24.740644
Zhushan,120.677306,23.756389
Xizhi,121.6423,25.067131
Puzi,120.24735,23.465308
Annan,120.2175,23.048197
Yonghe,121.516306,25.017
Pingzhen,121.203986,24.952786
Zuoying,120.292917,22.674861
Guting,121.529556,25.020608
Dongshan,121.792928,24.632203
Douliu,120.544994,23.711853
Renwu,120.332631,22.689056
Zhongli,121.221667,24.953278
Zhongshan,121.526528,25.062361
Xiaogang,120.337736,22.565833
Daliao,120.425081,22.565747
Dayuan,121.201811,25.060344
Dali,120.677689,24.099611
Datong,121.513311,25.0632
Shilin,121.515389,25.105417
Tucheng,121.451861,24.982528
Sanyi,120.758833,24.382942
Sanchong,121.493806,25.072611
Erlin,120.409653,23.925175
