County,Resident,Area
New Taipei City,3970644,2052.5667
Taipei City,2704810,271.7997
Taoyuan City,2105780,1220.954
Taichung City,2744445,2214.8968
Tainan City,1885541,2191.6531
Kaohsiung City,2778918,2951.8524
Yilan County,458117,2143.6251
Hsinchu County,542042,1427.5369
Miaoli County,563912,1820.3149
Changhua County,1289072,1074.396
Nantou County,509490,4106.436
Yunlin County,699633,1290.8326
Chiayi County,519839,1903.6367
Pingtung County,841253,2775.6003
Taitung County,222452,3515.2526
Hualien County,331945,4628.5714
Penghu County,102304,126.8641
Keelung City,372105,132.7589
Hsinchu City,434060,104.1526
Chiayi City,270366,60.0256
Kinmen County,132799,151.656
Lienchiang County,12547,28.8
